Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Purchase Date,Quantity,Price,Product Name,Cost Per Unit,Discount,Taxes,Category ID,Category Name,City Name,County,State Code,State,Latitude,Longitude,Area Code,Area Population,Area Households,Area Median Income,Customer Name,Age,Gender,Salesperson Name
OID10004,PID2029,A142,EMP1019,C1078,2/23/2019,4,1848,Product 30,1294,0,277.2,D,Category D,Palmdale,Los Angeles County,CA,California,34.57943,-118.11646,661,158351,42720,52392,Russell Nelson,32,f,Roger Robertson
OID10014,PID2079,A152,EMP1041,C1073,2/24/2019,1,1725,Product 80,1363,0,258.75,F,Category F,San Bernardino,San Bernardino County,CA,California,34.10834,-117.28977,909,216108,57580,37047,Antonio Frazier,30,f,Joe Sims
OID10027,PID2062,A126,EMP1001,C1256,3/13/2019,1,2464,Product 63,1774,0,369.6,E,Category E,Huntington Beach,Orange County,CA,California,33.6603,-117.99923,657,201899,74460,83252,Roger Alexander,63,f,Kevin Butler
OID10032,PID2083,A156,EMP1025,C1342,1/17/2019,1,2141,Product 84,1777,0,321.15,G,Category G,San Jose,Santa Clara County,CA,California,37.33939,-121.89496,408,1026908,314297,84647,Philip Burton,73,m,Ernest Wagner
OID10042,PID2100,A147,EMP1019,C1267,1/3/2019,1,799,Product 101,455,0,119.85,H,Category H,Richmond,Contra Costa County,CA,California,37.93576,-122.34775,510,109708,36973,55102,Matthew Fernandez,63,f,Roger Robertson
OID10061,PID2041,A101,EMP1041,C1168,2/18/2019,1,1380,Product 42,1090,0,207,E,Category E,Antioch,Contra Costa County,CA,California,38.00492,-121.80579,925,110542,33718,64329,Keith Campbell,55,m,Joe Sims
OID10070,PID2046,A159,EMP1040,C1147,1/3/2019,1,2410,Product 47,1518,0,361.5,E,Category E,Santa Clara,Santa Clara County,CA,California,37.35411,-121.95524,408,126215,43433,98914,Thomas Hawkins,43,m,Patrick Ruiz
OID10071,PID2091,A121,EMP1016,C1755,1/6/2019,3,368,Product 92,294,0,55.2,G,Category G,Fresno,Fresno County,CA,California,36.74773,-119.77237,559,520052,161914,41531,Carl Nguyen,57,m,Henry Nelson
OID10074,PID2038,A121,EMP1042,C1732,2/25/2019,1,392,Product 39,255,0,58.8,E,Category E,Fresno,Fresno County,CA,California,36.74773,-119.77237,559,520052,161914,41531,Benjamin Garza,46,m,Scott Clark
OID10086,PID2054,A130,EMP1023,C1526,1/14/2019,1,127,Product 55,79,0,19.05,E,Category E,Lancaster,Los Angeles County,CA,California,34.69804,-118.13674,661,161103,47427,47225,Juan Rivera,72,f,Brian Davis
OID10096,PID2005,A133,EMP1037,C1791,2/8/2019,1,684,Product 6,561,0,102.6,B,Category B,Modesto,Stanislaus County,CA,California,37.6391,-120.99688,209,211266,70481,48577,Bruce Bowman,68,m,Carl Hall
OID10098,PID2098,A119,EMP1022,C1467,3/8/2019,1,1178,Product 99,683,0,176.7,H,Category H,Fontana,San Bernardino County,CA,California,34.09223,-117.43505,909,207460,49975,64824,James Armstrong,51,m,Walter Cook
OID10133,PID2045,A104,EMP1038,C1350,1/24/2019,1,556,Product 46,395,0,83.4,E,Category E,Burbank,Los Angeles County,CA,California,34.18084,-118.30897,818,105319,41361,66076,Douglas Franklin,80,m,Scott Mason
OID10145,PID2033,A111,EMP1007,C1666,2/3/2019,2,2182,Product 34,1200,0,327.3,D,Category D,Daly City,San Mateo County,CA,California,37.70583,-122.46194,650,106562,31137,74449,Nicholas Morrison,24,f,Jeremy Mendoza
OID10155,PID2027,A111,EMP1024,C1176,1/5/2019,1,2497,Product 28,1473,0,374.55,D,Category D,Daly City,San Mateo County,CA,California,37.70583,-122.46194,650,106562,31137,74449,Ronald Anderson,55,m,Ernest Wheeler
OID10162,PID2030,A158,EMP1015,C1120,2/9/2019,2,1899,Product 31,1044,0,284.85,D,Category D,Santa Ana,Orange County,CA,California,33.74557,-117.86783,949,335400,74757,52253,Victor Gray,45,f,Justin Lynch
OID10173,PID2093,A115,EMP1040,C1566,1/18/2019,3,112,Product 94,90,0,16.8,G,Category G,Elk Grove,Sacramento County,CA,California,38.4088,-121.37162,916,166913,49316,79487,Aaron Mills,50,f,Patrick Ruiz
OID10180,PID2011,A148,EMP1006,C1350,1/26/2019,4,530,Product 12,435,0,79.5,B,Category B,Riverside,Riverside County,CA,California,33.95333,-117.39611,951,322424,91267,57196,Douglas Franklin,80,m,Sean Miller
OID10199,PID2100,A115,EMP1001,C1350,3/13/2019,2,799,Product 101,455,0,119.85,H,Category H,Elk Grove,Sacramento County,CA,California,38.4088,-121.37162,916,166913,49316,79487,Douglas Franklin,80,m,Kevin Butler
OID10208,PID2054,A132,EMP1029,C1194,3/14/2019,1,127,Product 55,79,0,19.05,E,Category E,Los Angeles,Los Angeles County,CA,California,34.05223,-118.24368,213,3971883,1342761,50205,Clarence Kelley,55,m,Howard Gardner
OID10209,PID2043,A120,EMP1040,C1571,3/8/2019,3,545,Product 44,425,0,81.75,E,Category E,Fremont,Alameda County,CA,California,37.54827,-121.98857,510,232206,72684,105355,Russell Bailey,50,f,Patrick Ruiz
OID10218,PID2029,A123,EMP1018,C1612,1/11/2019,3,1848,Product 30,1294,0,277.2,D,Category D,Garden Grove,Orange County,CA,California,33.77391,-117.94145,657,175393,46998,58449,William Medina,70,f,Jimmy Young
OID10230,PID2078,A115,EMP1005,C1455,1/4/2019,1,1798,Product 79,971,0,269.7,F,Category F,Elk Grove,Sacramento County,CA,California,38.4088,-121.37162,916,166913,49316,79487,Eugene Scott,51,m,Ryan Welch
OID10232,PID2081,A143,EMP1035,C1572,2/23/2019,1,1566,Product 82,1190,0,234.9,G,Category G,Pasadena,Los Angeles County,CA,California,34.14778,-118.14452,626,142250,54536,72402,Andrew Robinson,50,f,Roger Ramos
OID10243,PID2004,A108,EMP1020,C1529,2/9/2019,4,1278,Product 5,665,0,191.7,A,Category A,Concord,Contra Costa County,CA,California,37.97798,-122.03107,925,128667,45409,68318,Walter Harris,72,f,Ryan Butler
OID10259,PID2040,A139,EMP1029,C1528,1/31/2019,1,1889,Product 41,945,0,283.35,E,Category E,Ontario,San Bernardino County,CA,California,34.06334,-117.65089,909,171214,47375,54114,Jose Griffin,72,f,Howard Gardner
OID10268,PID2043,A125,EMP1025,C1124,3/15/2019,2,545,Product 44,425,0,81.75,E,Category E,Hayward,Alameda County,CA,California,37.66882,-122.0808,510,158289,46713,65096,Benjamin Ryan,45,f,Ernest Wagner
OID10295,PID2076,A111,EMP1003,C1552,3/6/2019,3,1522,Product 77,791,0,228.3,F,Category F,Daly City,San Mateo County,CA,California,37.70583,-122.46194,650,106562,31137,74449,Robert Price,30,f,Christopher Tucker
OID10303,PID2052,A135,EMP1034,C1073,3/3/2019,3,1526,Product 53,1251,0,228.9,E,Category E,Murrieta,Riverside County,CA,California,33.55391,-117.21392,951,109830,32685,74610,Antonio Frazier,30,f,Arthur Mccoy
OID10307,PID2098,A155,EMP1005,C1203,3/14/2019,2,1178,Product 99,683,0,176.7,H,Category H,San Francisco,San Francisco County,CA,California,37.775,-122.41944,415,864816,353287,81294,Joshua Brooks,55,m,Ryan Welch
OID10308,PID2081,A145,EMP1029,C1070,1/18/2019,3,1566,Product 82,1190,0,234.9,G,Category G,Rancho Cucamonga,San Bernardino County,CA,California,34.1064,-117.59311,909,175236,55240,77396,David Garrett,30,f,Howard Gardner
OID10313,PID2012,A170,EMP1002,C1780,2/20/2019,3,1353,Product 13,947,0,202.95,B,Category B,Victorville,San Bernardino County,CA,California,34.53611,-117.29116,760,122225,31886,45894,James Armstrong,68,m,Andrew Bowman
OID10323,PID2010,A134,EMP1038,C1407,2/14/2019,3,1812,Product 11,1305,0,271.8,B,Category B,Moreno Valley,Riverside County,CA,California,33.93752,-117.23059,951,204198,51693,54590,Albert Rice,29,m,Scott Mason
OID10324,PID2027,A108,EMP1002,C1582,1/31/2019,1,2497,Product 28,1473,0,374.55,D,Category D,Concord,Contra Costa County,CA,California,37.97798,-122.03107,925,128667,45409,68318,William Schmidt,60,f,Andrew Bowman
OID10331,PID2032,A141,EMP1043,C1002,1/11/2019,1,1967,Product 33,1397,0,295.05,D,Category D,Oxnard,Ventura County,CA,California,34.1975,-119.17705,805,207254,50815,60621,Henry Reyes,56,m,Joshua Taylor
OID10335,PID2023,A134,EMP1033,C1370,3/7/2019,1,818,Product 24,450,0,122.7,C,Category C,Moreno Valley,Riverside County,CA,California,33.93752,-117.23059,951,204198,51693,54590,Ernest Knight,22,m,Jerry Perry
OID10337,PID2061,A155,EMP1031,C1347,2/19/2019,4,913,Product 62,584,0,136.95,E,Category E,San Francisco,San Francisco County,CA,California,37.775,-122.41944,415,864816,353287,81294,Fred Jenkins,73,m,Brian Thomas
OID10350,PID2000,A129,EMP1008,C1648,3/14/2019,1,2241,Product 1,1367,0,336.15,A,Category A,Jurupa Valley,Riverside County,CA,California,34.00259,-117.46761,951,100314,24839,57749,Jose Riley,24,f,Carl Elliott
OID10355,PID2040,A151,EMP1010,C1776,2/23/2019,2,1889,Product 41,945,0,283.35,E,Category E,Salinas,Monterey County,CA,California,36.67774,-121.6555,831,157380,40892,49840,Wayne Stone,57,m,Joshua Cook
OID10360,PID2041,A126,EMP1003,C1212,3/3/2019,1,1380,Product 42,1090,0,207,E,Category E,Huntington Beach,Orange County,CA,California,33.6603,-117.99923,657,201899,74460,83252,Andrew Adams,58,f,Christopher Tucker
OID10381,PID2024,A138,EMP1018,C1791,1/22/2019,3,356,Product 25,292,0,53.4,D,Category D,Oceanside,San Diego County,CA,California,33.19587,-117.37948,760,175691,60493,57703,Bruce Bowman,68,m,Jimmy Young
